SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,900 N Stafford St #1007,Arlington,VA,22203,540000,2,2,ALTA VISTA CONDO,1005,,1989,31,537,609,Active,,,http://www.redfin.com/VA/Arlington/900-N-Stafford-St-22203/unit-1007/home/11245978,BRIGHT MLS,VAAR165034,N,Y,38.881029,-77.1105655
MLS Listing,,Single Family Residential,2712 N Buchanan St,Arlington,VA,22207,2100000,5,4.5,YORKTOWN,5361,10079,2016,32,392,,Active,,,http://www.redfin.com/VA/Arlington/2712-N-Buchanan-St-22207/home/11228439,BRIGHT MLS,VAAR164894,N,Y,38.9033391,-77.1299327
MLS Listing,,Single Family Residential,2130 N Thomas St,Arlington,VA,22207,1499000,4,4.5,Arlington,2732,7089,2018,33,549,,Active,,,http://www.redfin.com/VA/Arlington/2130-N-Thomas-St-22207/home/11234248,BRIGHT MLS,VAAR165140,N,Y,38.8982649,-77.1150548
MLS Listing,,Single Family Residential,2330 N Edgewood St,Arlington,VA,22201,849000,2,2,MAYWOOD,1340,10446,1920,33,634,,Active,,,http://www.redfin.com/VA/Arlington/2330-N-Edgewood-St-22201/home/11233330,BRIGHT MLS,VAAR164488,N,Y,38.8982804,-77.0972527
MLS Listing,,Condo/Co-op,3800 Lee Hwy #206,Arlington,VA,22207,444900,1,1,38 PLACE,825,,2015,33,539,382,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Arlington/3800-Lee-Hwy-22207/unit-206/home/110303919,BRIGHT MLS,VAAR165090,N,Y,38.8962928,-77.1063299
MLS Listing,,Condo/Co-op,1021 Arlington Blvd #901,Arlington,VA,22209,159950,0,1,RIVER PLACE,425,,1955,34,376,304,Active,,,http://www.redfin.com/VA/Arlington/1021-Arlington-Blvd-22209/unit-901/home/11253975,BRIGHT MLS,VAAR165094,N,Y,38.8910242,-77.0683703
MLS Listing,,Condo/Co-op,1121 Arlington Blvd #418,Arlington,VA,22209,199950,1,1,RIVER PLACE,716,,1955,35,279,555,Active,,,http://www.redfin.com/VA/Arlington/1121-Arlington-Blvd-22209/unit-418/home/11252585,BRIGHT MLS,VAAR165054,N,Y,38.891944,-77.0702135
MLS Listing,,Condo/Co-op,1515 S Arlington Ridge Rd #305,Arlington,VA,22202,534900,2,2,PENTAGON RIDGE,1338,,1974,35,400,815,Active,,,http://www.redfin.com/VA/Arlington/1515-S-Arlington-Ridge-Rd-22202/unit-305/home/16896729,BRIGHT MLS,VAAR164984,N,Y,38.8610858,-77.0666362
MLS Listing,,Single Family Residential,3644 N Vermont St,Arlington,VA,22207,2250000,5,6.5,Arlington,5416,10000,2020,36,415,,Active,,,http://www.redfin.com/VA/Arlington/3644-N-Vermont-St-22207/home/11229669,BRIGHT MLS,VAAR163744,N,Y,38.9167792,-77.1270112
MLS Listing,,Single Family Residential,3000 12th St S,Arlington,VA,22204,1350000,5,4.5,DOUGLAS PARK,4015,7805,2015,36,336,,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Arlington/3000-12th-St-S-22204/home/95011892,BRIGHT MLS,VAAR164586,N,Y,38.8605281,-77.0869916
MLS Listing,,Single Family Residential,3209 19th Rd N,Arlington,VA,22201,1399000,4,2.5,KIRKWOOD TERRACE,2963,5707,1942,36,472,,Active,,,http://www.redfin.com/VA/Arlington/3209-19th-Rd-N-22201/home/11247522,BRIGHT MLS,VAAR164892,N,Y,38.8943723,-77.0989161
MLS Listing,,Single Family Residential,1512 S Oakland St,Arlington,VA,22204,747000,3,3,DOUGLAS PARK,1608,4435,1996,37,465,,Active,,,http://www.redfin.com/VA/Arlington/1512-S-Oakland-St-22204/home/11263852,BRIGHT MLS,VAAR164914,N,Y,38.8552412,-77.0944203
MLS Listing,,Townhouse,3572 S Stafford St,Arlington,VA,22206,555000,2,2,FAIRLINGTON GLEN,1500,,1940,37,370,420,Active,,,http://www.redfin.com/VA/Arlington/3572-S-Stafford-St-22206/home/11270220,BRIGHT MLS,VAAR164416,N,Y,38.8298206,-77.0877011
MLS Listing,,Condo/Co-op,900 N Stafford St #1406,Arlington,VA,22203,425000,1,1,ALTA VISTA CONDO,765,,1989,38,556,463,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Arlington/900-N-Stafford-St-22203/unit-1406/home/11246031,BRIGHT MLS,VAAR164724,N,Y,38.881029,-77.1105655
MLS Listing,,Condo/Co-op,2603 S Walter Reed Dr Unit A,Arlington,VA,22206,399900,2,1,THE ARLINGTON,810,,1950,38,494,293,Active,,,http://www.redfin.com/VA/Arlington/2603-S-Walter-Reed-Dr-22206/unit-A/home/11268053,BRIGHT MLS,VAAR164492,N,Y,38.8429114,-77.1027601
MLS Listing,,Single Family Residential,632 19th St S,Arlington,VA,22202,1889000,5,5.5,ADDISON HEIGHTS,7500,8625,2015,38,252,,Active,,,http://www.redfin.com/VA/Arlington/632-19th-St-S-22202/home/11275977,BRIGHT MLS,VAAR164744,N,Y,38.856203,-77.0571434
MLS Listing,,Condo/Co-op,1881 N Nash St #406,Arlington,VA,22209,849000,1,2,TURNBERRY TOWER,1404,,2009,39,605,1102,Active,,,http://www.redfin.com/VA/Arlington/1881-N-Nash-St-22209/unit-406/home/28681635,BRIGHT MLS,VAAR164782,N,Y,38.8978262,-77.073355
MLS Listing,,Condo/Co-op,880 N Pollard St #325,Arlington,VA,22203,615000,2,2,BALLSTON 880,1040,,2000,40,591,604,Active,,,http://www.redfin.com/VA/Arlington/880-N-Pollard-St-22203/unit-325/home/22983951,BRIGHT MLS,VAAR164670,N,Y,38.88095,-77.1070517
MLS Listing,,Condo/Co-op,1000 N Randolph St #310,Arlington,VA,22201,750000,2,2,BERKELEY CONDOMINIUM,1246,,2004,40,602,991,Active,,,http://www.redfin.com/VA/Arlington/1000-N-Randolph-St-22201/unit-310/home/11279304,BRIGHT MLS,VAAR161154,N,Y,38.8835982,-77.1101484
MLS Listing,,Condo/Co-op,900 N Taylor St #1811,Arlington,VA,22203,149000,1,1,THE JEFFERSON - Sunrise Senior Living,686,,1992,42,217,240,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1811/home/11246691,BRIGHT MLS,VAAR164714,N,Y,38.8803033,-77.1127814
MLS Listing,,Townhouse,749 S Granada St S,Arlington,VA,22204,850000,4,3.5,ANTON MEWS,3329,2796,1989,43,255,,Active,,,http://www.redfin.com/VA/Arlington/749-S-Granada-St-22204/home/11259622,BRIGHT MLS,VAAR164010,N,Y,38.858197,-77.1186958
MLS Listing,,Single Family Residential,4034 7th St S,Arlington,VA,22204,1100000,3,4.5,ALCOVA HEIGHTS,2339,5876,1979,43,470,,Active,,,http://www.redfin.com/VA/Arlington/4034-7th-St-S-22204/home/11261127,BRIGHT MLS,VAAR164656,N,Y,38.8625669,-77.1006257
MLS Listing,,Single Family Residential,6251 N Kensington St,Mclean,VA,22101,1975000,6,5.5,FRANKLIN PARK,5930,9750,2020,43,333,,Active,August-2-2020 01:00 PM,August-2-2020 04:00 PM,http://www.redfin.com/VA/McLean/6251-N-Kensington-St-22101/home/9484172,BRIGHT MLS,VAFX1114190,N,Y,38.909172,-77.152525
MLS Listing,,Condo/Co-op,900 N Taylor St #1216,Arlington,VA,22203,215000,2,2,THE JEFFERSON - Sunrise Senior Living,1048,,1992,44,205,402,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1216/home/11246593,BRIGHT MLS,VAAR164614,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,1021 N Garfield St #1030,Arlington,VA,22201,725000,1,1,CLARENDON 1021,746,,2005,45,972,444,Active,August-2-2020 02:00 PM,August-2-2020 04:00 PM,http://www.redfin.com/VA/Arlington/1021-N-Garfield-St-22201/unit-1030/home/11281513,BRIGHT MLS,VAAR164354,N,Y,38.8851994,-77.0935524
MLS Listing,,Condo/Co-op,1881 N Nash St #1803,Arlington,VA,22209,1695000,2,2.5,TURNBERRY TOWER,1803,,2009,45,940,1408,Active,,,http://www.redfin.com/VA/Arlington/1881-N-Nash-St-22209/unit-1803/home/28681855,BRIGHT MLS,VAAR164518,N,Y,38.8978262,-77.073355
